date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:40	71193/71193	---M--	200	added ('OK')	image/jpeg	etag:%2211619-5bace075b3340%22	http://www.necbdc.org.in/sites/default/files/styles/1080_x_510/public/article/necbdc1.jpg?itok=g1960kL8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/styles/1080_x_510/public/article/necbdc12f4d.jpg	(from http://www.necbdc.org.in/)
00:35:40	10449/10449	---M--	200	added ('OK')	image/jpeg	etag:%2228d1-56b830edff780%22	http://www.necbdc.org.in/sites/default/files/imageblock/networking.jpg	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/imageblock/networking.jpg	(from http://www.necbdc.org.in/)
00:35:42	86690/86690	---M--	200	added ('OK')	image/jpeg	etag:%22152a2-5aef25ae79b80%22	http://www.necbdc.org.in/sites/default/files/styles/1080_x_510/public/article/IMG-20200826-WA0058.jpg?itok=wVwmCFK4	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/styles/1080_x_510/public/article/IMG-20200826-WA00588040.jpg	(from http://www.necbdc.org.in/)
00:35:42	38677/38677	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:41%20GMT	http://www.necbdc.org.in/content/hi-tech-bamboo-nursery-mokokchung	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/content/hi-tech-bamboo-nursery-mokokchung.html	(from http://www.necbdc.org.in/)
00:35:42	16248/16248	---M--	200	added ('OK')	image/jpeg	etag:%223f78-5af42864626c0%22	http://www.necbdc.org.in/sites/default/files/styles/400x250/public/Naga%20Farmers%20Association%2C%20Mokokchung1.jpg?itok=PLDmpQ8x	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/styles/400x250/public/Naga%20Farmers%20Association,%20Mokokchung1d22b.jpg	(from http://www.necbdc.org.in/)
00:35:44	38236/38236	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:42%20GMT	http://www.necbdc.org.in/content/zhotos-multipurpose-cooperative-society-dimapur-nagaland	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/content/zhotos-multipurpose-cooperative-society-dimapur-nagaland.html	(from http://www.necbdc.org.in/)
00:35:44	14196/14196	---M--	200	added ('OK')	image/jpeg	etag:%223774-5af4286556900%22	http://www.necbdc.org.in/sites/default/files/styles/400x250/public/Zhotos%20Multipurpose%20Cooperative%20Society2.jpg?itok=c47v5rOp	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/styles/400x250/public/Zhotos%20Multipurpose%20Cooperative%20Society204d7.jpg	(from http://www.necbdc.org.in/)
00:35:46	40168/40168	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:44%20GMT	http://www.necbdc.org.in/content/hi-tech-bamboo-nursery-kvk-piprakothi-bihar	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/content/hi-tech-bamboo-nursery-kvk-piprakothi-bihar.html	(from http://www.necbdc.org.in/)
00:35:46	28471/28471	---M--	200	added ('OK')	image/jpeg	etag:%226f37-5af4286556900%22	http://www.necbdc.org.in/sites/default/files/styles/400x250/public/Bamboo%20Nursery%20at%20KVK%2C%20Piprakothi%208.jpg?itok=0CTRNIhH	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/styles/400x250/public/Bamboo%20Nursery%20at%20KVK,%20Piprakothi%208579f.jpg	(from http://www.necbdc.org.in/)
00:35:48	38598/38598	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:46%20GMT	http://www.necbdc.org.in/content/hi-tech-nursery-muirei-manipur	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/content/hi-tech-nursery-muirei-manipur.html	(from http://www.necbdc.org.in/)
